업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
황토골 옹기집,,서울특별시 서대문구 충정로3가  464번지 116호  117118(지하1층),일식,,충현동
황토골 옹기집,,서울특별시 서대문구 충정로3가  464번지 116호  117118(지하1층),일식,오리훈제,충현동
보길도활어회,서울특별시 서대문구 북아현로 67-1 (북아현동),서울특별시 서대문구 북아현동  180번지 17호  ,일식,모듬회,북아현동
보길도활어회,서울특별시 서대문구 북아현로 67-1 (북아현동),서울특별시 서대문구 북아현동  180번지 17호  ,일식,회,북아현동
장어세상,서울특별시 서대문구 수색로10길 11 (북가좌동),서울특별시 서대문구 북가좌동  371번지 11호  ,한식,등심,북가좌제1동
장어세상,서울특별시 서대문구 수색로10길 11 (북가좌동),서울특별시 서대문구 북가좌동  371번지 11호  ,한식,돼지갈비,북가좌제1동
육회지존1,서울특별시 서대문구 명물길 26 (창천동(지하1층)),서울특별시 서대문구 창천동  13번지 9호  (지하1층),한식,삼계탕,신촌동
쏘렌토,서울특별시 서대문구 가좌로 114 1층 (홍은동),서울특별시 서대문구 홍은동  366번지 25호  1층 전체,한식,스파게티,홍은제2동
쏘렌토,서울특별시 서대문구 가좌로 114 1층 (홍은동),서울특별시 서대문구 홍은동  366번지 25호  1층 전체,한식,스파게티,홍은제2동
무교동낙지(신촌점),서울특별시 서대문구 신촌로 87-4 (창천동외1필지),서울특별시 서대문구 창천동  30번지 11호  외1필지,한식,낙지볶음,신촌동
무교동낙지(신촌점),서울특별시 서대문구 신촌로 87-4 (창천동외1필지),서울특별시 서대문구 창천동  30번지 11호  외1필지,한식,한식,신촌동
시미즈,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
하남돼지집,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
시미즈,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
하남돼지집,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
율도참치,서울특별시 서대문구 연세로4길 12 (창천동외 1필지),서울특별시 서대문구 창천동  29번지 111호  외 1필지,한식,참치회코스,신촌동
아미산,서울특별시 서대문구 연희로32길 151 지하1~지상2층 (연희동),서울특별시 서대문구 연희동  168번지 11호  지하1층~지상2층,한식,자장면,연희동
오징어 세상,서울특별시 서대문구 연희맛로 7-6 (연희동),서울특별시 서대문구 연희동  189번지 13호  ,경양식,파스타,연희동
차이나,서울특별시 서대문구 가좌로 142 (홍은동),서울특별시 서대문구 홍은동  343번지 1호  ,중국식,,홍은제2동
이화찜닭,서울특별시 서대문구 이화여대길 43 (대현동 지하1층),서울특별시 서대문구 대현동  56번지 126호  지하1층,한식,찜닭,신촌동
